"전철역코드","전철역명","전철명명(영문)","호선","외부코드"
"0150","서울역","Seoul Station","01호선","133"
"0151","시청","City Hall","01호선","132"
"0152","종각","Jonggak","01호선","131"
"0153","종로3가","Jongno 3(sam)-ga","01호선","130"
"0154","종로5가","Jongno 5(o)-ga","01호선","129"
"0155","동대문","Dongdaemun","01호선","128"
"0156","신설동","Sinseol-dong","01호선","126"
"0157","제기동","Jegi-dong","01호선","125"
"0158","청량리","Cheongnyangni","01호선","124"
"0159","동묘앞","Dongmyo","01호선","127"
"0200","까치산","Kkachisan","02호선","234-4"
"0201","시청","City Hall","02호선","201"
"2565","하남시청","Hanam City Hall","05호선","557"
"2566","하남검단산","Hanam Geomdansan","05호선","558"
"2736","고속터미널","Express Bus Terminal","07호선","734"
"2737","내방","Naebang","07호선","735"
"2738","이수","Isu","07호선","736"
"2739","남성","Namseong","07호선","737"
"2740","숭실대입구","Soongsil Univ.","07호선","738"
"2741","상도","Sangdo","07호선","739"
"2755","춘의","Chunui","07호선","753"
"2756","신중동","Sinjung-dong","07호선","754"
"2827","모란","Moran","08호선","826"
"4127","선정릉","Seonjeongneung","09호선","927"
"0202","을지로입구","Euljiro 1(il)-ga","02호선","202"
"0203","을지로3가","Euljiro 3(sam)-ga","02호선","203"
"0204","을지로4가","Euljiro 4(sa)-ga","02호선","204"
"0205","동대문역사문화공원","Dongdaemun History  Culture Park","02호선","205"
"0206","신당","Sindang","02호선","206"
"0207","상왕십리","Sangwangsimni","02호선","207"
"0208","왕십리","Wangsimni","02호선","208"
"0209","한양대","Hanyang Univ.","02호선","209"
"0210","뚝섬","Ttukseom","02호선","210"
"0211","성수","Seongsu","02호선","211"
"0212","건대입구","Konkuk Univ.","02호선","212"
"0213","구의","Guui","02호선","213"
"0214","강변","Gangbyeon","02호선","214"
"0215","잠실나루","Jamsillaru","02호선","215"
"0216","잠실","Jamsil","02호선","216"
"0219","삼성","Samseong","02호선","219"
"2562","강일","Gangil","05호선","554"
"0221","역삼","Yeoksam","02호선","221"
"0222","강남","Gangnam","02호선","222"
"0223","교대","Seoul Nat`l Univ. of Education","02호선","223"
"0225","방배","Bangbae","02호선","225"
"0226","사당","Sadang","02호선","226"
"0227","낙성대","Nakseongdae","02호선","227"
"0228","서울대입구","Seoul Nat`l Univ.","02호선","228"
"0229","봉천","Bongcheon","02호선","229"
"0230","신림","Sillim","02호선","230"
"0231","신대방","Sindaebang","02호선","231"
"0232","구로디지털단지","Guro Digital Complex","02호선","232"
"0233","대림","Daerim","02호선","233"
